album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
10 Anos de Triunfo (Ao Vivo),album,3AKQgmQ25qEEhHMJAsexjN,23,Ubuntu Fristaili - Ao Vivo,36,267400,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,6AI7u64to3bm9Iga4t2TmX,24,"Mandume (feat. Drik Barbosa, Raphão Alaafin, Muzzike, Amiri, Coruja BC1, Rico Dalasam & Rashid) - Ao Vivo",37,647666,2018-04-21,"['Emicida', 'Drik Barbosa', 'Raphão Alaafin', 'Muzzike', 'Amiri', 'Coruja Bc1', 'Rico Dalasam', 'Rashid']"
10 Anos de Triunfo (Ao Vivo),album,1gHFcFkvcdgUreyZYxXSKP,25,Rinha - Ao Vivo,36,131920,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,2q8HdxqpSVrH4sQK3FYCT0,26,Levanta e Anda (feat. Rael) - Ao Vivo,42,192253,2018-04-21,"['Emicida', 'Rael']"
10 Anos de Triunfo (Ao Vivo),album,5bNj15MKnbPImzXXYmEqEG,27,Triunfo - Ao Vivo,40,259360,2018-04-21,['Emicida']
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,3z32Uk7vU6GWjpALDkV3Vv,1,Mãe,45,298226,2015-08-07,"['Emicida', 'Dona Jacira', 'Anna Tréa']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,4jII68ZqfGu22k5wCxbxFu,2,8,37,209453,2015-08-07,['Emicida']
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,4icFcHyZjwzHhTuEcDvEkC,3,Casa,40,241120,2015-08-07,['Emicida']
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,3lDFLt1aUxiGhDo168opkA,4,Amoras,35,56932,2015-08-07,['Emicida']
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,5jMXOj3VZCe9j4Woxx5Px5,5,Mufete,33,238560,2015-08-07,['Emicida']
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,14SO7JAN6L7Mk1ZUmabJaI,6,Baiana,53,233320,2015-08-07,"['Emicida', 'Caetano Veloso']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,0gGjX0aUg7OaUSAhi1CmDk,7,Passarinhos,59,221626,2015-08-07,"['Emicida', 'Vanessa Da Mata']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,55F7SmmSkCKveb0Hy6d4yV,8,Sodade,29,70626,2015-08-07,"['Emicida', 'Neusa Semedo']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,7wlJeLu1laRNNXwwxLodX0,9,Chapa,36,278986,2015-08-07,"['Emicida', 'Batucaderas do Terreiro dos Orgãos']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,2v3FdNAsIe9rh62DOb4ZIz,10,Boa Esperança,41,182880,2015-08-07,"['Emicida', 'J. Ghetto']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,21lnL9CbwOOdA4LIQpYRKo,11,Trabalhadores do Brasil,29,82693,2015-08-07,"['Emicida', 'Marcelino Freire']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,7JEFQNPdF5yUePOuTAG5fs,12,Mandume,43,495600,2015-08-07,"['Emicida', 'Drik Barbosa', 'Amiri', 'Rico Dalasam', 'Muzzike', 'Raphão Alaafin']"
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,0FAisOr5R8iaelTo9j6nQ4,13,Madagascar,46,232733,2015-08-07,['Emicida']
